INDEX_NR,OPID,OPERATOR,ATYPE,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,TYPE_ENG,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,AIRPORT_ID,AIRPORT,STATE,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,DAMAGE,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,SPECIES_ID,SPECIES,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_REPAIRS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
8163,MIL,MILITARY,HC-130P,,,,,A,,,,,,,,,,FALSE,FALSE,9/7/2004,9,2004,Night,2100,KPIA,GENERAL DOWNING - PEORIA INTL ARPT,IL,AGL,,,,700,,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH xxxxxx-x-xxxx,,,,,,,,,,BASH,,,0,10/21/2009,FALSE,FALSE
8164,MIL,MILITARY,HH-60G,,,,,B,,,,,,,,,,FALSE,FALSE,9/9/2004,9,2004,Night,2220,KPIA,GENERAL DOWNING - PEORIA INTL ARPT,IL,AGL,,,,2000,,,Approach,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH xxxxxx-x-xxxx,,,,,,,,,,BASH,,,0,10/21/2009,FALSE,TRUE
8169,MIL,MILITARY,C-17A,148,,,,A,,,,,,,,,,FALSE,FALSE,9/16/2004,9,2004,Day,1740,KSCH,SCHENECTADY COUNTY,NY,AEA,,,,20,,,Climb,E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,,,UNK,Unknown bird or bat,,,Medium,,SOURCE = BASH xxxxxx-x-xxxx,,,,,,,,,,BASH,,,0,10/21/2009,FALSE,FALSE
6188,MIL,MILITARY,C-21A,,,,,A,,,,,,,,840093,,FALSE,FALSE,10/1/2003,10,2003,Dawn,755,KCOS,COLORADO SPRINGS MUNICIPAL,CO,ANM,,,,0,130,0,Take-off run,N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Aborted Take-off,,No Cloud,None,UNK,Unknown bird or bat,2-10,2-10,Medium,,SOURCE = BASH NR xxxxx,,0,,,,,Deleted,Deleted,10/7/2003,BASH,Other,,,10/21/2009,FALSE,FALSE
6851,MIL,MILITARY,T-38A,,,,,A,,,,,,,,,,TRUE,TRUE,7/25/1995,7,1995,DAY,910,KSPS,SHEPPARD AIR FORCE BASE,TX,ASW,,,"Location inputed -  SHEPPARD AFB WICHITA FALLS MUNI, TX;  Date  -  07/25/1995;  ICAO -  KSPS;  REP ICAO -  KSPS;  MAJCOM -  AETC;  UNIT1 -  ;  UNIT2 -  ;  LL ROUTE -",100,200,,Climb,N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,N5111,Killdeer,2-10,2-10,Small,Y,SOURCE = BASH NR xxxxx,"REMARKS -  ;  AIRCRAFT -  T - 38 - ;  IMPACT -  BOTTOM FUSELAGE;  NUMBER OF BIRDS (S, F, or Z) -  F",,,,,,Deleted,Deleted,5/19/2000,BASH,Other,,,10/21/2009,FALSE,FALSE
6857,MIL,MILITARY,C-17A,148,,,,A,,,,,,,,,,FALSE,FALSE,8/4/1995,8,1995,DAY,1155,KCHS,CHARLESTON AFB/INTL ARPT,SC,ASO,,,"Location inputed -  CHARLESTON AFB, SC;  Date  -  08/04/1995;  ICAO -  KCHS;  REP ICAO -  KCHS;  MAJCOM -  AMC;  UNIT1 -  ;  UNIT2 -  ;  LL ROUTE -",,230,,Approach,C,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,1,1,Medium,Y,SOURCE = BASH NR xxxxx,"REMARKS -  ;  AIRCRAFT -  C - 17 - ;  IMPACT -  NOSE RADOME;  NUMBER OF BIRDS (S, F, or Z) -  S",,45442,,73033,,Deleted,Deleted,5/19/2000,BASH,Other,,,10/21/2009,FALSE,TRUE
6861,MIL,MILITARY,T-37B,,,,,,,,,,,,,,,FALSE,FALSE,8/15/1995,8,1995,DAY,1025,KSPS,SHEPPARD AIR FORCE BASE,TX,ASW,,,"Location inputed -  SHEPPARD AFB WICHITA FALLS MUNI, TX;  Date  -  08/15/1995;  ICAO -  KSPS;  REP ICAO -  KSPS;  MAJCOM -  AETC;  UNIT1 -  ;  UNIT2 -  ;  LL ROUTE -",0,50,0,Take-off run,N,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,UNK,Unknown bird or bat,1,1,Medium,Y,SOURCE = BASH NR xxxxx,"REMARKS -  ;  AIRCRAFT -  T - 37 - B;  IMPACT -  FRT LT WINDSHIELD;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,Deleted,Deleted,5/19/2000,BASH,Other,,,10/21/2009,FALSE,FALSE
8074,MIL,MILITARY,T-1A,748,,31,01,A,,,,,,,,92-332,,TRUE,TRUE,10/15/2003,10,2003,Day,1230,KSJT,MATHIS FIELD (TX),TX,ASW,,,,100,120,,Approach,N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,No Cloud,None,YH004,Horned lark,1,1,Small,,SOURCE = BASH NR xxxxx,,0,,,,,Deleted,Deleted,10/15/2003,BASH,Other,,,10/21/2009,FALSE,FALSE
8076,MIL,MILITARY,T-1A,748,,31,01,A,,,,,,,,94-0147,,TRUE,TRUE,10/28/2003,10,2003,Day,1720,KMEI,KEY FLD,MS,ASO,,,,150,114,,Approach,N,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,No Cloud,None,K5102,American kestrel,2-10,1,Small,,SOURCE = BASH NR xxxxx,,,,,,,Deleted,Deleted,11/7/2003,BASH,Other,,,10/21/2009,FALSE,FALSE
5601,MIL,MILITARY,T-37B,,,,,,,,,,,,,,,TRUE,TRUE,7/17/1992,7,1992,DAY,1230,KSPS,SHEPPARD AIR FORCE BASE,TX,ASW,,,"Location inputed -  SHEPPARD AFB WICHITA FALLS MUNI, TX;  Date  -  07/17/1992;  ICAO -  KSPS;  REP ICAO -  KSPS;  MAJCOM -  AETC;  UNIT1 -  ;  UNIT2 -  ;  LL ROUTE -",50,180,0,Take-off run,N,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,ZT002,Western meadowlark,1,1,Small,Y,SOURCE = BASH NR xxxxx,"REMARKS -  ;  AIRCRAFT -  T - 37 - B;  IMPACT -  RIGHT WINDSCREEN;  NUMBER OF BIRDS (S, F, or Z) -  S",,,,,,Deleted,Deleted,5/19/2000,BASH,Other,,,10/21/2009,FALSE,FALSE
